resposta,comentario
5,"Muito bom, superou minhas expectativas!"
0,"Excelente serviço, muito satisfeito!"
3,"Bom atendimento, mas pode melhorar."
3,"Não gostei muito, precisa melhorar bastante."
7,"Serviço péssimo, não recomendo."
9,"Não gostei muito, precisa melhorar bastante."
3,"Excelente serviço, muito satisfeito!"
5,"Estou neutro, não foi bom nem ruim."
2,"Não gostei muito, precisa melhorar bastante."
4,"Fantástico, recomendarei a todos!"
7,"Excelente serviço, muito satisfeito!"
6,Não tenho certeza se recomendaria.
8,"Muito bom, superou minhas expectativas!"
8,Desapontado com o serviço prestado.
10,"Excelente serviço, muito satisfeito!"
1,"Fantástico, recomendarei a todos!"
6,"Não gostei muito, precisa melhorar bastante."
7,"Fantástico, recomendarei a todos!"
7,Não tenho certeza se recomendaria.
8,"Não gostei muito, precisa melhorar bastante."
1,Desapontado com o serviço prestado.
5,"Não gostei muito, precisa melhorar bastante."
9,"Estou neutro, não foi bom nem ruim."
8,"Estou neutro, não foi bom nem ruim."
9,"Não gostei muito, precisa melhorar bastante."
4,"Estou neutro, não foi bom nem ruim."
3,"Serviço péssimo, não recomendo."
0,"Bom atendimento, mas pode melhorar."
3,"Não gostei muito, precisa melhorar bastante."
5,Desapontado com o serviço prestado.
0,"Fantástico, recomendarei a todos!"
2,"Bom atendimento, mas pode melhorar."
3,"Serviço péssimo, não recomendo."
8,"Fantástico, recomendarei a todos!"
1,"Razoável, tem pontos a melhorar."
3,"Ótimo, continuem assim!"
3,"Não gostei muito, precisa melhorar bastante."
3,"Estou neutro, não foi bom nem ruim."
7,"Excelente serviço, muito satisfeito!"
0,"Excelente serviço, muito satisfeito!"
1,"Razoável, tem pontos a melhorar."
9,"Excelente serviço, muito satisfeito!"
9,"Razoável, tem pontos a melhorar."
0,"Estou neutro, não foi bom nem ruim."
10,"Fantástico, recomendarei a todos!"
4,"Estou neutro, não foi bom nem ruim."
7,"Ótimo, continuem assim!"
3,"Ótimo, continuem assim!"
2,"Ótimo, continuem assim!"
7,"Não gostei muito, precisa melhorar bastante."
2,"Estou neutro, não foi bom nem ruim."
0,"Não gostei muito, precisa melhorar bastante."
